"Subject","Point_FPSR","Name_of_the_statistical_factor","Importance_of_the_statistical_factor"
"Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1166
"Республика Бурятия","3_1","Число погибших на 100 пострадавших","9,048361934"
"Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",679
"Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",81
"Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",902
"Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","8,240081384"
"Забайкальский край","3_1","Количество ДТП с пострадавшими",850
"Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",185
"Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",980
"Забайкальский край","3_1","Число погибших на 100 пострадавших","15,87982833"
"Приморский край","3_1","Количество ДТП с пострадавшими",2190
"Приморский край","3_1","Количество лиц, погибших в результате ДТП",221
"Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2822
"Приморский край","3_1","Число погибших на 100 пострадавших","7,262569832"
"Хабаровский край","3_1","Количество ДТП с пострадавшими",1307
"Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",129
"Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1582
"Хабаровский край","3_1","Число погибших на 100 пострадавших","7,539450614"
"Камчатский край","3_1","Количество ДТП с пострадавшими",347
"Камчатский край","3_1","Количество лиц, погибших в результате ДТП",37
"Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",431
"Камчатский край","3_1","Число погибших на 100 пострадавших","7,905982906"
"Амурская область","3_1","Количество ДТП с пострадавшими",1060
"Амурская область","3_1","Количество лиц, погибших в результате ДТП",145
"Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1351
"Амурская область","3_1","Число погибших на 100 пострадавших","9,692513369"
"Магаданская область","3_1","Количество ДТП с пострадавшими",164
"Магаданская область","3_1","Количество лиц, погибших в результате ДТП",18
"Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",209
"Магаданская область","3_1","Число погибших на 100 пострадавших","7,929515419"
"Сахалинская область","3_1","Количество ДТП с пострадавшими",388
"Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",52
"Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",510
"Сахалинская область","3_1","Число погибших на 100 пострадавших","9,252669039"
"Еврейская АО","3_1","Количество ДТП с пострадавшими",180
"Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",23
"Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",222
"Еврейская АО","3_1","Число погибших на 100 пострадавших","9,387755102"
"Чукотский АО","3_1","Количество ДТП с пострадавшими",16
"Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",3
"Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15
"Чукотский АО","3_1","Число погибших на 100 пострадавших","16,66666667"
"ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",74
"ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",5
"ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",83
